NM number	Gene name	Gene Family	Category	Expression Value - stimulus	Expression Value + stimulus
NM_0009396	MSR1	Pattern recognition receptor	Immune system proteins	0.131	0.139
NM_0007645	VPS37A	Olfactory receptor	Signal transducing proteins	0.633	0.686
NM_0001225	SFTPC	SNARE family	Transporters	0.276	0.269
NM_0008440	BMP1	Expansin gene family	Transporters	0.436	0.461
NM_0002892	NKX2-6	Ras family	Signal transducing proteins	0.963	0.918
NM_0009597	ERLIN2	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.141	0.13
NM_0001203	STAR	Cyclins	Regulatory protein gene families	0.386	0.398
NM_0008450	ADAM9	GABA transporter	Transporters	0.701	0.717
NM_0007981	KAT6A	Ion channels	Transporters	0.866	0.786
NM_0001731	SLC20A2	GATA transcription factor	Regulatory protein gene families	0.839	0.827
NM_0009535	HGSNAT	Major histocompatibility complex (MHC)	Immune system proteins	0.572	0.61
NM_0001516	PRKDC	Solute carrier family	Transporters	0.166	0.18
NM_0007155	TTPA	NOTCH2NL	Regulatory protein gene families	0.414	0.374
NM_0006504	CSPP1	General transcription factor	Regulatory protein gene families	0.588	0.601
NM_0002362	GDAP1	MADS-box gene family	Regulatory protein gene families	0.256	0.269
NM_0006814	PEX2	Toll-like receptors	Immune system proteins	0.479	0.444
NM_0003170	OTUD6B	MAP Kinase	Signal transducing proteins	0.166	0.176
NM_0001040	PDP1	Ion channels	Transporters	0.399	0.392
NM_0001078	C8orf37	Dynein	Motor proteins	0.534	0.523
NM_0006581	GRHL2	Pattern recognition receptor	Immune system proteins	0.839	0.906
NM_0005826	RRM2B	Non-receptor tyrosine kinase	Signal transducing proteins	0.531	0.554
NM_0009423	TRPS1	Monoamine transporter	Transporters	0.633	0.657
NM_0001434	RAD21	Fibroblast growth factor receptors (FGFR)	Transporters	0.619	0.633
NM_0002175	EXT1	Papain-like protease	Transporters	0.585	0.615
NM_0001314	NDUFB9	SRC kinase family	Signal transducing proteins	0.965	0.906
NM_0004513	KIAA0196	Myosin	Motor proteins	0.916	0.86
NM_0007470	TRAPPC9	14-3-3 protein family	Regulatory protein gene families	0.838	0.863
NM_0002356	PUF60	Kinesin	Motor proteins	0.524	0.545
NM_0002489	PLEC	Equilibrative nucleoside transporter family	Transporters	0.96	0.938
NM_0008445	PARP10	RIG-I like receptors	Immune system proteins	0.839	0.757
NM_0009128	SLC39A4	SNARE family	Transporters	0.975	0.986
NM_0005587	RECQL4	Peroxin	Transporters	0.847	0.782
NM_0003545	KANK1	Ion channels	Transporters	0.33	0.309
NM_0004239	SMARCA2	Antiporter	Transporters	0.586	0.563
NM_0005819	JAK2	Serine/threonine-specific protein kinase	Signal transducing proteins	0.187	0.172
NM_0002188	TYRP1	GATA transcription factor	Regulatory protein gene families	0.499	0.46
NM_0007522	MPDZ	Hox gene family	Regulatory protein gene families	0.216	0.232
NM_0001049	BNC2	MAP Kinase	Signal transducing proteins	0.67	0.72
NM_0006533	CDKN2B-AS1	MADS-box gene family	Regulatory protein gene families	0.463	0.486
NM_0006125	APTX	Equilibrative nucleoside transporter family	Transporters	0.925	0.975
NM_0006590	B4GALT1	Ion channels	Transporters	0.617	0.572
NM_0008510	PIGO	Kinesin	Motor proteins	0.964	0.902
NM_0004593	CCDC107	P300-CBP coactivator family	Regulatory protein gene families	0.579	0.627
NM_0001198	GBA2	Globin	Transporters	0.595	0.647
NM_0008962	NPR2	Arf family	Signal transducing proteins	0.457	0.483
NM_0006663	GRHPR	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.971	0.911
NM_0001599	FXN	RIG-I like receptors	Immune system proteins	0.167	0.175
NM_0007643	VPS13A	Pattern recognition receptor	Immune system proteins	0.183	0.192
NM_0002609	AUH	Membrane-spanning 4A	Transporters	0.026	0.025
NM_0007305	XPA	14-3-3 protein family	Regulatory protein gene families	0.753	0.701
NM_0001839	MURC	Aquaporins	Transporters	0.667	0.618
NM_0009598	FRRS1L	Heat shock proteins	Transporters	0.275	0.292
NM_0008624	DFNB31	Nuclear receptor	Regulatory protein gene families	0.709	0.716
NM_0009106	NR5A1	ABC transporters	Transporters	0.645	0.696
NM_0003485	LMX1B	Antiporter	Transporters	0.547	0.498
NM_0005990	LRSAM1	Ras family	Signal transducing proteins	0.395	0.422
NM_0002182	SPTAN1	Cyclins	Regulatory protein gene families	0.983	0.91
NM_0006998	ABL1	Antiporter	Transporters	0.119	0.12
NM_0001196	LAMC3	RIG-I like receptors	Immune system proteins	0.526	0.483
NM_0003455	CEL	General transcription factor	Regulatory protein gene families	0.642	0.614
NM_0009273	DBH	Janus kinases	Signal transducing proteins	0.543	0.52
NM_0008225	KCNT1	ABC transporters	Transporters	0.519	0.468
NM_0008519	LHX3	Arf family	Signal transducing proteins	0.337	0.357
NM_0003700	NOTCH1	Dynein	Motor proteins	0.359	0.345
NM_0006493	AGPAT2	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.001	0.001
NM_0008853	MAN1B1	Receptor tyrosine kinases	Signal transducing proteins	0.39	0.425
NM_0002770	GRIN1	SNARE family	Transporters	0.196	0.209
NM_0002414	TPRN	ATCase/OTCase family	Transporters	0.386	0.379
NM_0007666	NSMF	FH2 protein (formin) gene family	Transporters	0.702	0.753
NM_0006435		DLX gene family	Regulatory protein gene families	0.938	0.926
NM_0006365	SHOX	FH2 protein (formin) gene family	Transporters	0.68	0.715
NM_0008064	CSF2RA	Fibroblast growth factors (FGF)	Transporters	0.34	0.306
NM_0007856	NLGN4X	Globin	Transporters	0.106	0.116
NM_0002759	VCX3A	Hox gene family	Regulatory protein gene families	0.605	0.565
NM_0007069	CLCN4	Equilibrative nucleoside transporter family	Transporters	0.804	0.831
NM_0009014	MID1	Rap family	Signal transducing proteins	0.17	0.178
NM_0008222	HCCS	ABC transporters	Transporters	0.983	1.012
NM_0007885	FRMPD4	Antiporter	Transporters	0.273	0.265
NM_0002019	TRAPPC2	Protocadherin gene family	Transporters	0.68	0.649
NM_0007116	OFD1	Immunoglobulin superfamily	Immune system proteins	0.526	0.538
NM_0009808	PIGA	P300-CBP coactivator family	Regulatory protein gene families	0.353	0.32
NM_0002766	NHS	Rap family	Signal transducing proteins	0.587	0.613
NM_0007807	SMPX	Ion channels	Transporters	0.911	0.859
NM_0006544	PTCHD1	MAP Kinase	Signal transducing proteins	0.562	0.587
NM_0007194	EIF2S3	Expansin gene family	Transporters	0.411	0.391
NM_0009405	PDK3	GABA transporter	Transporters	0.161	0.176
NM_0002617	ARX	ABC transporters	Transporters	0.466	0.474
NM_0008838	IL1RAPL1	Cyclins	Regulatory protein gene families	0.643	0.621
NM_0004622	NR0B1	Heat shock proteins	Transporters	0.279	0.265
NM_0003550	DMD	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.671	0.692
NM_0005110	BCOR	POU family	Regulatory protein gene families	0.364	0.343
NM_0005687	USP9X	General transcription factor	Regulatory protein gene families	0.326	0.354
NM_0007233	CASK	GABA transporter	Transporters	0.734	0.773
NM_0008023	MAOA	Major histocompatibility complex (MHC)	Immune system proteins	0.144	0.137
NM_0003667	ZNF674	POU family	Regulatory protein gene families	0.322	0.291
NM_0002596	ZNF41	Papain-like protease	Transporters	0.584	0.549
NM_0003170	SYN1	FH2 protein (formin) gene family	Transporters	0.858	0.917
NM_0008931	EBP	Aquaporins	Transporters	0.87	0.809
NM_0006366	GATA1	Non-receptor tyrosine kinase	Signal transducing proteins	0.435	0.463
NM_0001226	PQBP1	RIG-I like receptors	Immune system proteins	0.161	0.173
NM_0005643	SLC35A2	Families containing homeobox domains	Regulatory protein gene families	0.691	0.628
NM_0005663	WDR45	POU family	Regulatory protein gene families	0.593	0.542
NM_0006472	SYP	Transcription factors	Regulatory protein gene families	0.456	0.467
NM_0009261	FOXP3	MAP Kinase	Signal transducing proteins	0.145	0.131
NM_0009809	CLCN5	Aquaporins	Transporters	0.988	0.927
NM_0006130	KDM5C	MADS-box gene family	Regulatory protein gene families	0.821	0.856
NM_0007184	IQSEC2	Arf family	Signal transducing proteins	0.776	0.734
NM_0009431	HSD17B10	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.543	0.592
NM_0001800	HUWE1	Receptor tyrosine kinases	Signal transducing proteins	0.627	0.664
NM_0003114	PHF8	Antiporter	Transporters	0.433	0.451
NM_0003179	KLF8	Families containing homeobox domains	Regulatory protein gene families	0.827	0.804
NM_0001405	UBQLN2	POU family	Regulatory protein gene families	0.761	0.834
NM_0003360	ARHGEF9	MAP Kinase	Signal transducing proteins	0.945	0.86
NM_0003510	ZC4H2	MADS-box gene family	Regulatory protein gene families	0.064	0.066
NM_0001924	DLG3	14-3-3 protein family	Regulatory protein gene families	0.177	0.168
NM_0005321	MED12	SNARE family	Transporters	0.648	0.607
NM_0004289	NLGN3	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.409	0.369
NM_0005810	PHKA1	Glycine transporter	Transporters	0.258	0.269
NM_0007551	KIAA2022	Papain-like protease	Transporters	0.258	0.241
NM_0002113	ABCB7	Cyclin dependent kinases	Regulatory protein gene families	0.245	0.26
NM_0005117	ATRX	Rab family	Signal transducing proteins	0.093	0.084
NM_0004615	MAGT1	Immunoglobulin superfamily	Immune system proteins	0.882	0.819
NM_0002665	ATP7A	Glutamate transporter	Transporters	0.36	0.341
NM_0005880	PGK1	Glycine transporter	Transporters	0.892	0.978
NM_0001927	BRWD3	NOD-like receptors	Immune system proteins	0.555	0.564
NM_0004201	POU3F4	Myosin	Motor proteins	0.627	0.651
NM_0001685	CHM	Fibroblast growth factors (FGF)	Transporters	0.433	0.398
NM_0001460	TIMM8A	DLX gene family	Regulatory protein gene families	0.493	0.503
NM_0003639	BTK	Janus kinases	Signal transducing proteins	0.683	0.663
NM_0004337	PLP1	Kinesin	Motor proteins	0.151	0.146
NM_0006923	ACSL4	Ion channels	Transporters	0.987	1.076
NM_0006141	PAK3	NOD-like receptors	Immune system proteins	0.925	0.88
NM_0006015	ALG13	Ion channels	Transporters	0.954	0.965
NM_0009364	UPF3B	Peroxiredoxin	Signal transducing proteins	0.43	0.411
NM_0004119	LAMP2	Fibroblast growth factors (FGF)	Transporters	0.035	0.033
NM_0006585	CUL4B	Fibroblast growth factors (FGF)	Transporters	0.761	0.736
NM_0008008	GRIA3	Globin	Transporters	0.41	0.427
NM_0004645	SH2D1A	Janus kinases	Signal transducing proteins	0.449	0.469
NM_0001512	AIFM1	Rab family	Signal transducing proteins	0.748	0.803
NM_0002773	PHF6	Aquaporins	Transporters	0.617	0.653
NM_0005479	SLC9A6	ABC transporters	Transporters	0.593	0.573
NM_0005159	FHL1	Serine/threonine-specific protein kinase	Signal transducing proteins	0.649	0.62
NM_0005200	ARHGEF6	Rho family	Signal transducing proteins	0.712	0.651
NM_0009400	FMR1	Bacterial potassium transporter	Transporters	0.315	0.306
NM_0008140	AFF2	Roundabout family	Transporters	0.862	0.842
NM_0006226	NSDHL	ATCase/OTCase family	Transporters	0.972	1.041
NM_0009215	NAA10	Antiporter	Transporters	0.058	0.061
NM_0006370	GDI1	Solute carrier family	Transporters	0.69	0.663
NM_0005046	G6PD	Receptor tyrosine kinases	Signal transducing proteins	0.182	0.194
NM_0007769	DKC1	Fibroblast growth factors (FGF)	Transporters	0.841	0.873
NM_0004910	RAB39B	Expansin gene family	Transporters	0.004	0.004
NM_0002057	CLIC2	Heat shock factor	Transporters	0.77	0.799
